Protein	Module	Drug Target?	Essential?
YP_039480.1	1	0	0
YP_039486.1	10	1	0
YP_039492.1	1	0	0
YP_039494.1	10	0	0
YP_039495.1	10	0	0
YP_039510.1	10	0	0
YP_039578.1	10	0	0
YP_039605.1	10	0	0
YP_039682.1	10	0	0
YP_039689.1	10	0	0
YP_039699.1	10	0	0
YP_039715.1	1	0	0
YP_039817.1	10	0	0
YP_039855.1	10	0	0
YP_039865.1	10	0	0
YP_039866.1	10	0	1
YP_039910.1	10	0	0
YP_039920.1	10	0	0
YP_039922.1	10	0	0
YP_039927.1	1	0	0
YP_039941.1	10	1	0
YP_039951.1	10	0	0
YP_039957.1	1	0	0
YP_039961.1	1	0	0
YP_039964.1	10	0	0
YP_039968.1	1	1	0
YP_039972.1	10	0	0
YP_039978.1	1	0	0
YP_039991.1	10	0	0
YP_039996.1	1	1	0
YP_039997.1	10	1	0
YP_040001.1	10	1	0
YP_040002.1	10	0	0
YP_040042.1	10	0	0
YP_040059.1	10	0	0
YP_040061.1	1	1	0
YP_040083.1	10	0	0
YP_040095.1	10	0	0
YP_040113.1	10	0	0
YP_040166.1	1	0	0
YP_040193.1	10	1	0
YP_040200.1	10	1	0
YP_040202.1	10	0	0
YP_040216.1	1	0	0
YP_040249.1	1	0	0
YP_040254.1	10	0	0
YP_040255.1	10	0	0
YP_040256.1	10	0	0
YP_040273.1	1	0	0
YP_040285.1	10	1	0
YP_040289.1	1	0	0
YP_040342.1	10	0	0
YP_040346.1	10	0	0
YP_040349.1	10	1	0
YP_040352.1	10	0	0
YP_040360.1	10	0	0
YP_040369.1	10	0	0
YP_040383.1	1	1	0
YP_040397.1	1	1	0
YP_040403.1	10	0	0
YP_040406.1	1	1	1
YP_040450.1	10	0	0
YP_040458.1	1	0	0
YP_040469.1	10	0	0
YP_040470.1	10	0	1
YP_040471.1	10	0	1
YP_040478.1	1	0	0
YP_040526.1	1	1	0
YP_040532.1	10	0	0
YP_040575.1	10	0	0
YP_040580.1	1	1	0
YP_040590.1	1	0	0
YP_040596.1	10	0	0
YP_040618.1	1	0	0
YP_040619.1	10	0	0
YP_040625.1	10	0	0
YP_040627.1	1	0	1
YP_040632.1	10	0	0
YP_040633.1	10	0	1
YP_040638.1	2	0	0
YP_040643.1	10	0	0
YP_040644.1	10	0	0
YP_040645.1	1	0	0
YP_040650.1	1	1	0
YP_040661.1	10	0	1
YP_040662.1	10	0	0
YP_040679.1	10	0	0
YP_040687.1	1	0	0
YP_040753.1	1	0	0
YP_040758.1	10	0	0
YP_040767.1	1	0	0
YP_040786.1	10	1	0
YP_040809.1	1	0	0
YP_040814.1	10	0	0
YP_040867.1	1	1	0
YP_040878.1	10	1	0
YP_040882.1	10	0	1
YP_040985.1	10	0	0
YP_041002.1	1	0	0
YP_041018.1	10	0	0
YP_041025.1	10	1	0
YP_041037.1	10	1	0
YP_041039.1	10	0	0
YP_041045.1	1	0	0
YP_041052.1	10	0	0
YP_041084.1	1	0	0
YP_041099.1	10	1	0
YP_041130.1	1	1	0
YP_041135.1	1	0	0
YP_041137.1	1	0	0
YP_041149.1	1	1	0
YP_041153.1	10	0	0
YP_041154.1	1	0	0
YP_041164.1	10	0	1
YP_041176.1	10	0	0
YP_041196.1	10	0	1
YP_041206.1	1	0	0
YP_041221.1	1	0	0
YP_041222.1	1	0	0
YP_041229.1	10	1	0
YP_041250.1	1	0	0
YP_041254.1	10	0	0
YP_041317.1	10	0	0
YP_041358.1	10	0	0
YP_041364.1	10	0	0
YP_041365.1	10	0	0
YP_041370.1	10	1	0
YP_041479.1	10	0	0
YP_041531.1	10	1	0
YP_041560.1	10	0	0
YP_041570.1	10	0	0
YP_041572.1	10	1	0
YP_041573.1	10	0	1
YP_041575.1	1	0	0
YP_041576.1	1	1	0
YP_041584.1	10	0	1
YP_041586.1	1	0	0
YP_041600.1	10	0	1
YP_041615.1	10	0	0
YP_041626.1	10	0	0
YP_041656.1	10	0	0
YP_041664.1	10	1	1
YP_041674.1	10	0	0
YP_041676.1	10	0	0
YP_041686.1	1	0	0
YP_041723.1	10	0	0
YP_041856.1	10	0	0
YP_041858.1	1	0	0
YP_041869.1	10	0	0
YP_041901.1	10	0	0
YP_041927.1	10	0	0
