Protein	Module	Drug Target?	Essential?
YP_039481.1	3	0	0
YP_039482.1	1	1	0
YP_039483.1	1	1	0
YP_039486.1	2	1	0
YP_039492.1	1	0	0
YP_039493.1	5	0	0
YP_039494.1	1	0	0
YP_039495.1	2	0	0
YP_039510.1	2	0	0
YP_039578.1	2	0	0
YP_039583.1	4	0	0
YP_039609.1	2	0	0
YP_039663.1	3	0	0
YP_039688.1	3	0	0
YP_039689.1	1	0	0
YP_039699.1	2	0	0
YP_039705.1	1	0	0
YP_039763.1	3	0	0
YP_039765.1	4	0	0
YP_039817.1	2	0	0
YP_039821.1	3	0	0
YP_039855.1	2	0	0
YP_039865.1	1	0	0
YP_039898.1	3	0	0
YP_039920.1	3	0	0
YP_039922.1	2	0	0
YP_039927.1	1	0	0
YP_039933.1	1	1	0
YP_039951.1	1	0	0
YP_039953.1	3	0	0
YP_039957.1	1	0	0
YP_039962.1	3	0	0
YP_039964.1	2	0	0
YP_039972.1	4	0	0
YP_039992.1	3	0	0
YP_039994.1	3	0	0
YP_039996.1	1	1	0
YP_039997.1	1	1	0
YP_039999.1	3	1	0
YP_040002.1	3	0	0
YP_040007.1	2	0	0
YP_040083.1	2	0	0
YP_040085.1	1	0	0
YP_040093.1	3	0	0
YP_040094.1	2	1	0
YP_040099.1	3	0	0
YP_040100.1	2	0	0
YP_040113.1	1	0	0
YP_040200.1	3	1	0
YP_040202.1	2	0	0
YP_040212.1	3	0	0
YP_040216.1	6	0	0
YP_040235.1	3	0	0
YP_040240.1	7	0	0
YP_040249.1	1	0	0
YP_040254.1	1	0	0
YP_040255.1	1	0	0
YP_040256.1	2	0	0
YP_040262.1	3	0	0
YP_040263.1	3	0	0
YP_040285.1	2	1	0
YP_040325.1	3	0	0
YP_040341.1	3	0	0
YP_040342.1	1	0	0
YP_040345.1	3	0	0
YP_040346.1	1	0	0
YP_040349.1	1	1	0
YP_040352.1	2	0	0
YP_040360.1	8	0	0
YP_040369.1	1	0	0
YP_040374.1	3	0	0
YP_040383.1	1	1	0
YP_040397.1	2	1	0
YP_040403.1	1	0	0
YP_040471.1	1	0	1
YP_040478.1	2	0	0
YP_040570.1	9	1	0
YP_040575.1	3	0	0
YP_040584.1	3	0	0
YP_040624.1	3	0	1
YP_040630.1	3	0	0
YP_040643.1	2	0	0
YP_040644.1	1	0	0
YP_040809.1	1	0	0
YP_040870.1	10	0	0
YP_040878.1	1	1	0
YP_040879.1	2	0	0
YP_040993.1	3	0	0
YP_041002.1	1	0	0
YP_041057.1	3	0	0
YP_041066.1	3	0	0
YP_041165.1	3	1	0
YP_041175.1	3	0	0
