Module	Membership	Drug Targets	Essential Genes	Drug Fraction	Essential Fraction	Hypergeometric Score of Module Target	Hypergeometric Score of Module Essential
1	29	8.0	1.0	0.114	0.053	0.0032089852912816526	0.22799776436064095
10	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
2	22	4.0	0.0	0.057	0.0	0.09680540955104788	0.5088614620805213
3	33	3.0	1.0	0.043	0.053	0.5405929242219651	0.27580141901976507
4	3	0.0	0.0	0.0	0.0	0.307600960824427	0.09099593031790831
5	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
6	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
7	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
8	1	0.0	0.0	0.0	0.0	0.11513157894736847	0.03125000000000011
9	1	1.0	0.0	0.014	0.0	0.0	0.03125000000000011
