Protein	Module	Drug Target?	Essential?
YP_039493.1	6	0	0
YP_039495.1	7	0	0
YP_039496.1	7	0	0
YP_039510.1	5	0	0
YP_039583.1	7	0	0
YP_039609.1	2	0	0
YP_039634.1	2	0	0
YP_039638.1	2	0	0
YP_039654.1	6	0	0
YP_039663.1	7	0	0
YP_039682.1	6	0	0
YP_039688.1	3	0	0
YP_039705.1	2	0	0
YP_039765.1	6	0	0
YP_039812.1	2	0	0
YP_039813.1	2	0	0
YP_039817.1	5	0	0
YP_039855.1	6	0	0
YP_039898.1	6	0	0
YP_039910.1	5	0	0
YP_039942.1	6	0	0
YP_039947.1	5	0	0
YP_039950.1	6	0	0
YP_039953.1	5	0	0
YP_039962.1	2	0	0
YP_039967.1	6	0	0
YP_039978.1	2	0	0
YP_040001.1	5	1	0
YP_040002.1	7	0	0
YP_040007.1	2	0	0
YP_040042.1	5	0	0
YP_040093.1	2	0	0
YP_040094.1	2	1	0
YP_040099.1	7	0	0
YP_040123.1	6	0	0
YP_040151.1	7	0	0
YP_040193.1	5	1	0
YP_040200.1	7	1	0
YP_040212.1	6	0	0
YP_040216.1	5	0	0
YP_040234.1	2	0	0
YP_040235.1	2	0	0
YP_040239.1	6	0	0
YP_040240.1	7	0	0
YP_040305.1	7	0	0
YP_040325.1	6	0	0
YP_040341.1	2	0	0
YP_040345.1	7	0	0
YP_040352.1	5	0	0
YP_040360.1	7	0	0
YP_040374.1	7	0	0
YP_040397.1	5	1	0
YP_040451.1	6	0	0
YP_040461.1	7	0	0
YP_040480.1	2	0	0
YP_040481.1	2	0	0
YP_040483.1	2	0	0
YP_040525.1	6	1	0
YP_040531.1	5	0	0
YP_040570.1	6	1	0
YP_040573.1	2	1	0
YP_040575.1	7	0	0
YP_040590.1	5	0	0
YP_040602.1	7	1	0
YP_040604.1	2	0	0
YP_040622.1	7	0	0
YP_040633.1	2	0	1
YP_040641.1	5	0	0
YP_040643.1	7	0	0
YP_040658.1	5	0	0
YP_040672.1	5	0	0
YP_040679.1	7	0	0
YP_040684.1	5	0	0
YP_040735.1	7	0	0
YP_040738.1	5	0	0
YP_040772.1	5	1	0
YP_040786.1	7	1	0
YP_040801.1	7	0	0
YP_040814.1	5	0	0
YP_040826.1	6	0	0
YP_040827.1	2	0	0
YP_040832.1	5	0	0
YP_040841.1	6	1	0
YP_040842.1	3	1	0
YP_040852.1	6	0	0
YP_040863.1	2	1	0
YP_040870.1	7	0	0
YP_040886.1	7	0	0
YP_040892.1	7	0	0
YP_040911.1	2	0	0
YP_040990.1	5	0	0
YP_040992.1	1	0	0
YP_040993.1	6	0	0
YP_041011.1	7	1	0
YP_041018.1	6	0	0
YP_041029.1	7	0	0
YP_041030.1	2	0	0
YP_041052.1	2	0	0
YP_041070.1	6	1	0
YP_041075.1	5	0	0
YP_041087.1	4	1	0
YP_041090.1	7	0	0
YP_041096.1	2	0	0
YP_041099.1	2	1	0
YP_041103.1	6	0	0
YP_041109.1	6	0	1
YP_041141.1	3	0	0
YP_041153.1	5	0	0
YP_041160.1	6	0	0
YP_041163.1	2	0	1
YP_041165.1	2	1	0
YP_041175.1	5	0	0
YP_041193.1	2	1	0
YP_041203.1	2	0	0
YP_041256.1	5	1	0
YP_041317.1	7	0	0
YP_041323.1	7	0	0
YP_041329.1	7	0	0
YP_041353.1	2	1	0
YP_041364.1	5	0	0
YP_041365.1	5	0	0
YP_041449.1	2	0	0
YP_041488.1	2	0	0
YP_041489.1	5	0	0
YP_041497.1	7	1	0
YP_041531.1	7	1	0
YP_041551.1	2	0	0
YP_041560.1	7	0	0
YP_041561.1	7	0	0
YP_041581.1	2	0	0
YP_041584.1	5	0	1
YP_041626.1	6	0	0
YP_041644.1	2	0	0
YP_041660.1	7	0	0
YP_041668.1	6	0	0
YP_041680.1	6	0	0
YP_041684.1	2	0	0
YP_041691.1	5	0	0
YP_041716.1	2	0	0
YP_041729.1	5	0	0
YP_041732.1	5	0	0
YP_041760.1	2	0	0
YP_041770.1	6	0	0
YP_041807.1	2	0	0
YP_041852.1	2	0	0
YP_041869.1	5	0	0
YP_041901.1	7	0	0
YP_041942.1	7	0	0
YP_041964.1	5	0	0
YP_041971.1	5	0	0
YP_041973.1	5	0	0
YP_041982.1	7	0	0
YP_042011.1	5	0	0
YP_042022.1	2	0	0
YP_042027.1	5	0	0
YP_042032.1	6	0	0
YP_042043.1	5	0	0
YP_042053.1	6	0	0
YP_042056.1	6	0	0
YP_042070.1	6	0	0
YP_042131.1	7	0	0
YP_041673.1	7	0	0
YP_040482.1	2	0	0
YP_039914.1	3	0	0
YP_040103.1	5	0	0
YP_041548.1	5	1	0
YP_041020.1	6	0	0
YP_041000.1	5	0	0
YP_041051.1	5	0	0
YP_040507.1	5	0	0
YP_041413.1	5	0	0
YP_041741.1	5	0	0
YP_041454.1	2	0	0
YP_041718.1	2	0	0
YP_041517.1	7	0	0
YP_041473.1	6	0	0
YP_040251.1	7	0	0
YP_041207.1	7	0	0
YP_040893.1	7	0	0
YP_040989.1	1	0	0
YP_040991.1	1	0	0
YP_040824.1	4	0	0
YP_041991.1	3	0	0
YP_041166.1	2	0	0
YP_039884.1	5	0	0
YP_040616.1	5	0	0
YP_041924.1	5	0	0
